name,level
Снежинский городской округ,0.6
Трёхгорный городской округ,0.7
Магнитогорский городской округ,0.7
Челябинский городской округ,0.7
Копейский городской округ,1.0
Златоустовский городской округ,1.0
Кыштымский городской округ,1.1
Миасский городской округ,1.2
Увельский район,1.2
Южноуральский городской округ,1.3
Чебаркульский городской округ,1.3
Озёрский городской округ,1.3
Сосновский район,1.3
Еманжелинский район,1.3
Троицкий городской округ,1.3
Еткульский район,1.4
Кунашакский район,1.5
Коркинский муниципальный округ,1.5
Чебаркульский район,1.5
Каслинский район,1.6
Пластовский район,1.6
Локомотивный городской округ,1.6
Верхнеуральский район,1.6
Ашинский район,1.9
Аргаяшский район,2.1
Варненский район,2.2
Карабашский городской округ,2.2
Красноармейский район,2.2
Карталинский район,2.3
Саткинский район,2.3
Нагайбакский район,2.5
Агаповский район,2.6
Верхнеуфалейский городской округ,2.6
Катав-Ивановский район,2.7
Усть-Катавский городской округ,3.2
Кусинский район,3.3
Троицкий район,3.4
Уйский район,3.6
Чесменский район,4.1
Октябрьский район,4.4
Нязепетровский район,4.4
Кизильский район,4.7
Брединский район,7.6
