name,count,all,norm
Агаповский район,460,31815,0.01445858872
Аргаяшский район,518,39396,0.013148543
Ашинский район,1014,54979,0.01844340566
Брединский район,346,23586,0.01466971933
Варненский район,362,24152,0.01498840676
Верхнеуральский район,590,31736,0.01859087472
Верхнеуфалейский городской округ,542,25532,0.02122826257
Еманжелинский район,986,47327,0.02083377353
Еткульский район,492,29706,0.01656231064
Златоустовский городской округ,2900,161475,0.01795943645
Карабашский городской округ,216,10588,0.02040045334
Каслинский район,554,29604,0.01871368734
Катав-Ивановский район,492,26591,0.01850250085
Кизильский район,338,19751,0.01711305757
Копейский городской округ,0,148292,0
Коркинский муниципальный округ,1250,56402,0.02216233467
Красноармейский район,646,49158,0.01314129948
Кунашакский район,432,27737,0.0155748639
Кусинский район,584,25198,0.02317644257
Кыштымский городской округ,772,37271,0.020713155
Магнитогорский городской округ,0,409255,0
Миасский городской округ,3506,161093,0.02176382586
Нагайбакский район,318,17105,0.01859105525
Нязепетровский район,214,13873,0.01542564694
Октябрьский район,384,18437,0.02082768346
Пластовский район,452,24387,0.01853446508
Саткинский район,1100,74658,0.01473385304
Сосновский район,1182,88372,0.01337527724
Троицкий городской округ,1286,69983,0.018375891
Локомотивный район,0,8576,0
Троицкий район,638,23220,0.027476314
Увельский район,544,31033,0.01752972642
Уйский район,434,21213,0.02045915241
Чебаркульский городской округ,983,44671,0.022005328
Чебаркульский район,631,28704,0.021982999
Чесменский район,408,15412,0.026472878
Южноуральский городской округ,702,37414,0.01876302988
Карталинский район,654,43633,0.01498865538
Челябинский городской округ,18362,1182517,0.01552789516
Озёрский городской округ,1826,86692,0.02106307387
Снежинский городской округ,996,50901,0.01956739553
Трёхгорный городской округ,532,32478,0.01638031899
Усть-Катавский городской округ,546,23566,0.02316897225
